item_id,status,created_at,sku,price,qty_ordered,grand_total,increment_id,category_name_1,sales_commission_code,discount_amount,payment_method,Working Date,BI Status, MV ,Year,Month,Customer Since,M-Y,FY,Customer ID,Exception
725194.0,order_refunded,1/2/2018,MEFQMO59B0942707B79-L,99.0,2.0,2.0,100442474,,,346.0,Easypay,1/2/2018,Valid, 198 ,2018.0,1.0,2017-8,1-2018,FY18,59587.0,Exception for category_name_1 - Empty Field
731122.0,received,1/15/2018,MEFQMO59B0942707B79-M,99.0,1.0,249.0,100445690,,,0.0,cod,1/15/2018,Valid, 99 ,2018.0,1.0,2017-8,1-2018,FY18,59587.0,Exception for category_name_1 - Empty Field
732569.0,canceled,1/19/2018,MEFQMO59B0942707B79-M,99.0,1.0,249.0,100446481,,,0.0,bankalfalah,1/19/2018,Gross, 99 ,2018.0,1.0,2017-3,1-2018,FY18,37311.0,Exception for category_name_1 - Empty Field
732572.0,canceled,1/19/2018,MEFQMO59B0942707B79-M,99.0,1.0,249.0,100446483,,,0.0,bankalfalah,1/19/2018,Gross, 99 ,2018.0,1.0,2017-3,1-2018,FY18,37311.0,Exception for category_name_1 - Empty Field
732575.0,order_refunded,1/19/2018,MEFQMO59B0942707B79-M,99.0,1.0,249.0,100446485,,,0.0,cod,1/19/2018,Valid, 99 ,2018.0,1.0,2018-1,1-2018,FY18,85633.0,Exception for category_name_1 - Empty Field
732578.0,order_refunded,1/19/2018,MEFQMO59B0942707B79-S,99.0,1.0,249.0,100446487,,,0.0,cod,1/19/2018,Valid, 99 ,2018.0,1.0,2018-1,1-2018,FY18,85633.0,Exception for category_name_1 - Empty Field
733363.0,canceled,1/22/2018,MEFQMO59B0942707B79-M,99.0,2.0,348.0,100446942,,,0.0,bankalfalah,1/22/2018,Gross, 198 ,2018.0,1.0,2017-8,1-2018,FY18,59587.0,Exception for category_name_1 - Empty Field
733367.0,order_refunded,1/22/2018,MEFQMO59B0942707B79-M,99.0,2.0,3.0,100446945,,,0.0,bankalfalah,1/22/2018,Valid, 198 ,2018.0,1.0,2017-8,1-2018,FY18,59587.0,Exception for category_name_1 - Empty Field
733727.0,order_refunded,1/23/2018,MEFQMO59B0942707B79-S,99.0,2.0,1813.0,100447165,,,0.0,cod,1/23/2018,Valid, 198 ,2018.0,1.0,2017-8,1-2018,FY18,59587.0,Exception for category_name_1 - Empty Field
733736.0,order_refunded,1/23/2018,MEFQMO59B0942707B79-S,99.0,2.0,1958.0,100447168,,,0.0,cod,1/23/2018,Valid, 198 ,2018.0,1.0,2017-8,1-2018,FY18,59587.0,Exception for category_name_1 - Empty Field
733741.0,order_refunded,1/23/2018,MEFQMO59B0942707B79-S,99.0,1.0,159.0,100447169,,,0.0,cod,1/23/2018,Valid, 99 ,2018.0,1.0,2017-8,1-2018,FY18,59587.0,Exception for category_name_1 - Empty Field
737199.0,order_refunded,1/29/2018,MEFQMO59B0942707B79-S,99.0,1.0,249.0,100449062,,,0.0,cod,1/29/2018,Valid, 99 ,2018.0,1.0,2017-8,1-2018,FY18,59587.0,Exception for category_name_1 - Empty Field
737219.0,order_refunded,1/29/2018,MEFQMO59B0942707B79-S,99.0,1.0,449.0,100449075,,,0.0,cod,1/29/2018,Valid, 99 ,2018.0,1.0,2017-8,1-2018,FY18,59587.0,Exception for category_name_1 - Empty Field
744351.0,complete,2/13/2018,MATHAP5A698AF771FCD,874.3,1.0,1024.3,100452549,,,0.0,cod,2/13/2018,Net, 874 ,2018.0,2.0,2018-2,2-2018,FY18,87552.0,Exception for category_name_1 - Empty Field
744922.0,order_refunded,2/14/2018,MEFQMO59B0942707B79-M,99.0,2.0,348.0,100452756,,,0.0,cod,2/14/2018,Valid, 198 ,2018.0,2.0,2018-1,2-2018,FY18,85385.0,Exception for category_name_1 - Empty Field
757605.0,canceled,2/21/2018,MEFQMO59B0942707B79-M,99.0,1.0,249.0,100461765,,,0.0,bankalfalah,2/21/2018,Gross, 99 ,2018.0,2.0,2016-7,2-2018,FY18,1423.0,Exception for category_name_1 - Empty Field
757685.0,order_refunded,2/21/2018,MEFQMO59B0942707B79-M,99.0,1.0,249.0,100461801,,,0.0,cod,2/21/2018,Valid, 99 ,2018.0,2.0,2016-7,2-2018,FY18,1423.0,Exception for category_name_1 - Empty Field
763731.0,order_refunded,2/26/2018,MEFQMO59B0942707B79-M,99.0,1.0,1.0,100465423,,,0.0,Easypay_MA,2/26/2018,Valid, 99 ,2018.0,2.0,2018-1,2-2018,FY18,85385.0,Exception for category_name_1 - Empty Field
767979.0,order_refunded,2/28/2018,MEFQMO5A963699BA878,800.0,1.0,950.0,100468713,,,0.0,cod,2/28/2018,Valid, 800 ,2018.0,2.0,2018-1,2-2018,FY18,85385.0,Exception for category_name_1 - Empty Field
767988.0,order_refunded,2/28/2018,MEFQMO5A963699761E6,800.0,1.0,950.0,100468720,,,0.0,cod,2/28/2018,Valid, 800 ,2018.0,2.0,2018-1,2-2018,FY18,85385.0,Exception for category_name_1 - Empty Field
768018.0,order_refunded,2/28/2018,OTHQMO5A964AFFE94D7-L,800.0,1.0,950.0,100468737,,,0.0,cod,2/28/2018,Valid, 800 ,2018.0,2.0,2018-1,2-2018,FY18,85385.0,Exception for category_name_1 - Empty Field
768020.0,order_refunded,2/28/2018,OTHQMO5A964B0172970,800.0,1.0,950.0,100468738,,,0.0,cod,2/28/2018,Valid, 800 ,2018.0,2.0,2018-1,2-2018,FY18,85385.0,Exception for category_name_1 - Empty Field
768021.0,order_refunded,2/28/2018,OTHQMO5A964B0172970,800.0,2.0,1600.0,100468739,,,0.0,cod,2/28/2018,Valid," 1,600 ",2018.0,2.0,2018-1,2-2018,FY18,85385.0,Exception for category_name_1 - Empty Field
768056.0,order_refunded,2/28/2018,OTHQMO5A964B012EE33,800.0,2.0,1600.0,100468761,,,0.0,cod,2/28/2018,Valid," 1,600 ",2018.0,2.0,2018-1,2-2018,FY18,85385.0,Exception for category_name_1 - Empty Field
768058.0,order_refunded,2/28/2018,OTHQMO5A964B012EE33,800.0,1.0,950.0,100468763,,,0.0,cod,2/28/2018,Valid, 800 ,2018.0,2.0,2018-1,2-2018,FY18,85385.0,Exception for category_name_1 - Empty Field
768061.0,order_refunded,2/28/2018,OTHQMO5A964AFFE94D7-M,800.0,2.0,1600.0,100468766,,,0.0,cod,2/28/2018,Valid," 1,600 ",2018.0,2.0,2018-1,2-2018,FY18,85385.0,Exception for category_name_1 - Empty Field
776906.0,order_refunded,3/9/2018,MEFQMO59B0942707B79-M,99.0,2.0,0.0,100474421,,,0.0,customercredit,3/9/2018,Valid, 198 ,2018.0,3.0,2018-1,3-2018,FY18,85385.0,Exception for category_name_1 - Empty Field
792256.0,order_refunded,3/21/2018,MEFQMO59B0942707B79-M,99.0,2.0,348.0,100485855,,,0.0,cod,3/21/2018,Valid, 198 ,2018.0,3.0,2018-1,3-2018,FY18,85385.0,Exception for category_name_1 - Empty Field
792266.0,order_refunded,3/21/2018,MEFQMO59B0942707B79-M,99.0,2.0,348.0,100485862,,,0.0,cod,3/21/2018,Valid, 198 ,2018.0,3.0,2018-3,3-2018,FY18,97251.0,Exception for category_name_1 - Empty Field
792273.0,cod,3/21/2018,MEFQMO59B0942707B79-M,99.0,2.0,348.0,100485865,,,0.0,cod,3/21/2018,Valid, 198 ,2018.0,3.0,2018-3,3-2018,FY18,97251.0,Exception for category_name_1 - Empty Field
807902.0,order_refunded,3/27/2018,BAGEMA5AA697AA2016F,1100.0,1.0,1100.0,100499446,,,0.0,cod,3/27/2018,Valid," 1,100 ",2018.0,3.0,2018-3,3-2018,FY18,100450.0,Exception for category_name_1 - Empty Field
828772.0,canceled,4/20/2018,MEFQMO59B0942707B79-M,99.0,2.0,552.0,100514774,,,0.0,cod,4/20/2018,Gross, 198 ,2018.0,4.0,2018-1,4-2018,FY18,85385.0,Exception for category_name_1 - Empty Field
828775.0,canceled,4/20/2018,OTHOTH5A2F72DBBB0C9,100.0,2.0,552.0,100514774,,,0.0,cod,4/20/2018,Gross, 200 ,2018.0,4.0,2018-1,4-2018,FY18,85385.0,Exception for category_name_1 - Empty Field
828778.0,canceled,4/20/2018,OTHOTH5A2F72DBBB0C9,100.0,1.0,351.0,100514777,,,0.0,cod,4/20/2018,Gross, 100 ,2018.0,4.0,2018-1,4-2018,FY18,85385.0,Exception for category_name_1 - Empty Field
828780.0,canceled,4/20/2018,MEFQMO59B0942707B79-M,99.0,1.0,351.0,100514777,,,0.0,cod,4/20/2018,Gross, 99 ,2018.0,4.0,2018-1,4-2018,FY18,85385.0,Exception for category_name_1 - Empty Field
828787.0,canceled,4/20/2018,OTHOTH5A2F72DBBB0C9,100.0,1.0,351.0,100514781,,,0.0,cod,4/20/2018,Gross, 100 ,2018.0,4.0,2018-1,4-2018,FY18,85385.0,Exception for category_name_1 - Empty Field
828789.0,canceled,4/20/2018,MEFQMO59B0942707B79-M,99.0,1.0,351.0,100514781,,,0.0,cod,4/20/2018,Gross, 99 ,2018.0,4.0,2018-1,4-2018,FY18,85385.0,Exception for category_name_1 - Empty Field
828792.0,canceled,4/20/2018,OTHOTH5A2F72DBBB0C9,100.0,5.0,1005.0,100514783,,,0.0,cod,4/20/2018,Gross, 500 ,2018.0,4.0,2018-1,4-2018,FY18,85385.0,Exception for category_name_1 - Empty Field
828794.0,canceled,4/20/2018,MEFQMO59B0942707B79-M,99.0,5.0,1005.0,100514783,,,0.0,cod,4/20/2018,Gross, 495 ,2018.0,4.0,2018-1,4-2018,FY18,85385.0,Exception for category_name_1 - Empty Field
828796.0,canceled,4/20/2018,OTHOTH5A2F72DBBB0C9,100.0,5.0,1005.0,100514784,,,0.0,cod,4/20/2018,Gross, 500 ,2018.0,4.0,2018-1,4-2018,FY18,85385.0,Exception for category_name_1 - Empty Field
828798.0,canceled,4/20/2018,MEFQMO59B0942707B79-M,99.0,5.0,1005.0,100514784,,,0.0,cod,4/20/2018,Gross, 495 ,2018.0,4.0,2018-1,4-2018,FY18,85385.0,Exception for category_name_1 - Empty Field
828800.0,canceled,4/20/2018,OTHOTH5A2F72DBBB0C9,100.0,5.0,1005.0,100514785,,,0.0,cod,4/20/2018,Gross, 500 ,2018.0,4.0,2018-1,4-2018,FY18,85385.0,Exception for category_name_1 - Empty Field
828802.0,canceled,4/20/2018,MEFQMO59B0942707B79-M,99.0,5.0,1005.0,100514785,,,0.0,cod,4/20/2018,Gross, 495 ,2018.0,4.0,2018-1,4-2018,FY18,85385.0,Exception for category_name_1 - Empty Field
828804.0,canceled,4/20/2018,OTHOTH5A2F72DBBB0C9,100.0,5.0,1005.0,100514786,,,0.0,cod,4/20/2018,Gross, 500 ,2018.0,4.0,2018-1,4-2018,FY18,85385.0,Exception for category_name_1 - Empty Field
828806.0,canceled,4/20/2018,MEFQMO59B0942707B79-M,99.0,5.0,1005.0,100514786,,,0.0,cod,4/20/2018,Gross, 495 ,2018.0,4.0,2018-1,4-2018,FY18,85385.0,Exception for category_name_1 - Empty Field
